image_path,labels
data\data_classification\Alstonia_scholaris_diseased\0014_0045.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0154.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0065.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0243.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0006.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0157.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0075.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0172.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0034.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0129.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0067.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0155.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0048.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0003.JPG,0
data\data_classification\Alstonia_scholaris_healthy\0003_0006.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0061.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0059.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0043.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0083.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0015.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0105.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0155.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0074.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0050.JPG,1
data\data_classification\Apple_black_rot\image (261).JPG,2
data\data_classification\Apple_black_rot\image (238).JPG,2
data\data_classification\Apple_black_rot\image (615).JPG,2
data\data_classification\Apple_black_rot\image (275).JPG,2
data\data_classification\Apple_black_rot\image (345).JPG,2
data\data_classification\Apple_black_rot\image (538).JPG,2
data\data_classification\Apple_black_rot\image (443).JPG,2
data\data_classification\Apple_black_rot\image (147).JPG,2
data\data_classification\Apple_black_rot\image (122).JPG,2
data\data_classification\Apple_black_rot\image (202).JPG,2
data\data_classification\Apple_black_rot\image (294).JPG,2
