image_path,labels
data\data_classification\Alstonia_scholaris_diseased\0014_0132.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0201.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0174.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0094.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0062.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0182.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0141.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0074.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0223.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0209.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0098.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0208.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0086.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0085.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0251.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0108.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0176.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0021.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0239.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0136.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0112.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0046.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0081.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0146.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0231.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0043.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0237.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0072.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0213.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0002.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0178.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0137.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0202.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0054.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0026.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0064.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0069.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0211.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0150.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0007.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0008.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0245.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0025.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0030.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0059.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0092.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0253.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0200.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0218.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0107.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0162.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0142.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0203.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0206.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0077.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0040.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0019.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0156.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0187.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0166.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0083.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0226.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0207.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0089.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0047.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0126.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0035.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0144.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0084.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0153.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0044.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0029.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0123.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0125.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0120.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0071.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0180.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0088.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0127.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0049.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0119.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0242.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0163.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0099.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0140.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0096.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0051.JPG,0
