image_path,labels
data\data_classification\Alstonia_scholaris_diseased\0014_0080.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0252.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0038.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0205.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0130.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0113.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0159.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0186.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0050.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0168.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0066.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0247.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0033.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0147.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0204.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0079.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0039.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0091.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0173.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0228.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0234.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0004.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0198.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0070.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0196.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0244.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0225.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0013.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0036.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0134.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0073.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0135.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0227.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0022.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0192.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0114.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0057.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0032.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0131.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0214.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0236.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0189.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0117.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0161.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0139.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0087.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0024.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0102.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0249.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0023.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0010.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0160.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0090.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0210.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0254.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0063.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0212.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0103.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0001.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0145.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0106.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0238.JPG,0
data\data_classification\Alstonia_scholaris_diseased\0014_0015.JPG,0
data\data_classification\Alstonia_scholaris_healthy\0003_0053.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0013.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0173.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0041.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0030.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0125.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0070.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0045.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0123.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0140.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0128.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0088.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0037.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0132.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0029.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0047.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0130.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0080.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0019.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0069.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0068.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0026.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0012.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0028.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0114.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0017.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0170.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0007.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0081.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0104.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0036.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0051.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0093.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0137.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0060.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0145.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0133.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0054.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0048.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0136.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0078.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0161.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0148.JPG,1
data\data_classification\Alstonia_scholaris_healthy\0003_0116.JPG,1
data\data_classification\Apple_black_rot\image (317).JPG,2
data\data_classification\Apple_black_rot\image (282).JPG,2
data\data_classification\Apple_black_rot\image (24).JPG,2
data\data_classification\Apple_black_rot\image (46).JPG,2
data\data_classification\Apple_black_rot\image (551).JPG,2
data\data_classification\Apple_black_rot\image (100).JPG,2
data\data_classification\Apple_black_rot\image (523).JPG,2
data\data_classification\Apple_black_rot\image (534).JPG,2
data\data_classification\Apple_black_rot\image (348).JPG,2
data\data_classification\Apple_black_rot\image (377).JPG,2
data\data_classification\Apple_black_rot\image (240).JPG,2
data\data_classification\Apple_black_rot\image (350).JPG,2
data\data_classification\Apple_black_rot\image (595).JPG,2
data\data_classification\Apple_black_rot\image (408).JPG,2
data\data_classification\Apple_black_rot\image (504).JPG,2
data\data_classification\Apple_black_rot\image (514).JPG,2
